"Uptown Girl";"Billy Joel"
"Caribbean Queen";"Billy Ocean"
"Heart of Glass";"Blondie"
"Do You Really Want to Hurt Me?";"Culture Club"
"Time After Time";"Cyndi Lauper"
"You Spin Me Round (Like a Record)";"Dead or Alive"
"Come On Eileen";"Dexys Midnight Runners"
"Rio";"Duran Duran"
"A Little Respect";"Erasure"
"The Final Countdown";"Europe"
"I Ran (So Far Away)";"A Flock of Seagulls"
"I Want to Know What Love Is";"Foreigner"
"Kids in America";"Kim Wilde"
"Our House";"Madness"
"Material Girl";"Madonna"
"Who Can It Be Now?";"Men at Work"
"99 Red Balloons";"Nena"
"Brass in Pocket";"The Pretenders"
"Stand";"R.E.M."
"It's Tricky";"Run–D.M.C."
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"Tempted";"Squeeze"
"We Built This City";"Starship"
"Eye of the Tiger";"Survivor"
"Everybody Wants to Rule the World";"Tears for Fears"
"Hold Me Now";"Thompson Twins"
"The Best";"Tina Turner"
"We're Not Gonna Take It";"Twisted Sister"
"Wake Me Up Before You Go-Go";"Wham!"
