"Poison";"Alice Cooper"
"Vrijgezel";"Benny Neyman"
"Atomic";"Blondie"
"Verliefd";"Circus Custers"
"Anne";"Clouseau"
"Daar Gaat Ze";"Clouseau"
"Karma Chameleon";"Culture Club"
"Morgen Wordt Het Beter";"De Kast"
"Do Wah Diddy Diddy";"Dolly Dots"
"9 to 5";"Dolly Parton"
"Carolien";"Drukwerk"
"Zonder Jou";"Erik Mesie"
"The Final Countdown";"Europe"
"Perfect";"Fairground Attraction"
"Kronenburg Park";"Frank Boeijen"
"Alle Vrouwen";"iHans de Booy"
"Belgie";"Het Goede Doel"
"Mooie Dagen";"Johan Verminnen"
"Intimiteit";"Kadanz"
"Walking on Sunshine";"Katrina and the Waves"
"Zijn Het Je Ogen";"Koos Alberts"
"Material Girl";"Madonna"
"Meneer Kaktus Lied";"Meneer Kaktus"
"Zondag";"Rob De Nijs"
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"Eye of the Tiger";"Survivor"
"The Best";"Tina Turner"
"Ice Ice Baby";"Vanilla Ice"
"Wake Me Up Before You Go-Go";"Wham!"
