"Tennessee";"Arrested Development"
"Motownphilly";"Boyz II Men"
"Tubthumping";"Chumbawamba"
"I Wanna Sex You Up";"Color Me Badd"
"Zombie";"The Cranberries"
"I Touch Myself";"Divinyls"
"Free Your Mind";"En Vogue"
"More Than Words";"Extreme"
"Hey Jealousy";"Gin Blossoms"
"Only Wanna Be with You";"Hootie & the Blowfish"
"Right Here, Right Now";"Jesus Jones"
"Steal My Sunshine";"Len"
"U Can't Touch This";"MC Hammer"
"Torn";"Natalie Imbruglia"
"Step by Step";"New Kids on the Block"
"Lithium";"Nirvana"
"Opposites Attract";"Paula Abdul"
"Unskinny Bop";"Poison"
"Everybody Hurts";"R.E.M."
"Smooth";"Santana";"Rob Thomas"
"I Want You";"Savage Garden"
"Kiss from a Rose";"Seal"
"Baby Got Back";"Sir Mix-a-Lot"
"Kiss Me";"Sixpence None the Richer"
"Black Hole Sun";"Soundgarden"
"Two Princes";"Spin Doctors"
"Plush";"Stone Temple Pilots"
"Pump Up the Jam";"Technotronic";"Felly"
"Ice Ice Baby";"Vanilla Ice"
"Hold On";"Wilson Phillips"
