"What's Up?";"4 Non Blondes"
"I Miss You";"Blink-182"
"(Don't Fear) The Reaper";"Blue Öyster Cult"
"I Want You to Want Me";"Cheap Trick"
"Run to Paradise";"The Choirboys"
"Primary";"The Cure"
"Changes";"David Bowie"
"Boys in Town";"Divinyls"
"Evidence";"Faith No More"
"This Heart Attack";"Faker"
"This Ain't a Scene, It's an Arms Race";"Fall Out Boy"
"All Right Now";"Free"
"Chemical Heart";"Grinspoon"
"Real Wild Child (Wild One)";"Iggy Pop"
"Breaking the Law";"Judas Priest"
"You've Got Another Thing Comin'";"Judas Priest"
"L. S. F. (Lost Souls Forever)";"Kasabian"
"The Impression That I Get";"The Mighty Mighty Bosstones"
"Cum On Feel the Noize";"Quiet Riot"
"Black Bugs";"Regurgitator"
"Addicted to Love";"Robert Palmer"
"I'm Stranded";"The Saints"
"The Greatest View";"Silverchair"
"Weak";"Skunk Anansie"
"Runaway Train";"Soul Asylum"
"Blackbetty";"Spiderbait"
"Rock & Roll Queen";"The Subways"
"If You Could Only See";"Tonic"
"20th Century Boy";"T. Rex"
"Cherry Pie";"Warrant"
