"Cut off the Top";"Beatsteaks"
"Break Away";"Blind"
"I Miss You";"Blink-182"
"(Don't Fear) The Reaper";"Blue Öyster Cult"
"You Make Me Feel";"Bonfire"
"Jerk It Out";"Caesars"
"I Want You to Want Me";"Cheap Trick"
"Changes";"David Bowie"
"Warum Werde Ich Nicht Satt";"Die Toten Hosen"
"This Ain't a Scene, It's an Arms Race";"Fall Out Boy"
"Take Me Out";"Franz Ferdinand"
"All Right Now";"Free"
"Dance Floor Anthem (I Don't Want to Be in Love)";"Good Charlotte"
"Lift U Up";"Gotthard"
"Walk Idiot Walk";"The Hives"
"Real Wild Child (Wild One)";"Iggy Pop"
"Küss Mich";"In Extremo"
"Breaking the Law";"Judas Priest"
"You've Got Another Thing Comin'";"Judas Priest"
"L. S. F. (Lost Souls Forever)";"Kasabian"
"Long Before Rock 'n' Roll";"Mando Diao"
"Love and Memories";"O.A.R."
"Cum On Feel the Noize";"Quiet Riot"
"Rock You Like a Hurricane";"Scorpions"
"Weak";"Skunk Anansie"
"Runaway Train";"Soul Asylum"
"Santeria";"Sublime"
"Rock & Roll Queen";"The Subways"
"Cherry Pie";"Warrant"
"Woman";"Wolfmother"
