"Would?";"Alice in Chains"
"Cochise";"Audioslave"
"I Miss You";"Blink-182"
"(Don't Fear) The Reaper";"Blue Öyster Cult"
"More Than a Feeling";"Boston"
"I Want You to Want Me";"Cheap Trick"
"Changes";"David Bowie"
"This Ain't a Scene, It's an Arms Race";"Fall Out Boy"
"Best of You";"Foo Fighters"
"All Right Now";"Free"
"Real Wild Child (Wild One)";"Iggy Pop"
"You've Got Another Thing Comin'";"Judas Priest"
"When You Were Young";"The Killers"
"Ace of Spades";"Motörhead"
"Savin' Me";"Nickelback"
"Come as You Are";"Nirvana"
"Love and Memories";"O.A.R."
"Alive";"Pearl Jam"
"Every Rose Has Its Thorn";"Poison"
"Go with the Flow";"Queens of the Stone Age"
"Cum On Feel the Noize";"Quiet Riot"
"Creep";"Radiohead"
"Blitzkrieg Bop";"Ramones"
"Born to Be Wild";"Steppenwolf"
"Vasoline";"Stone Temple Pilots"
"Santeria";"Sublime"
"Burning Down the House";"Talking Heads"
"Gold Lion";"Yeah Yeah Yeahs"
"Owner of a Lonely Heart";"Yes"
"Gimme All Your Lovin'";"ZZ Top"
