"Naispaholainen";"Aki Sirkesalo"
"Milla";"Anssi Kela"
"Respect";"Aretha Franklin"
"Paranoid";"Black Sabbath"
"Enjoy the Silence";"Depeche Mode"
"Riidankylväjä";"Don Huonot"
"Tahroja paperilla";"Eppu Normaali"
"Right Here in My Arms";"HIM"
"Ikuinen virta";"Indica"
"Doris";"J. Karjalainen ja mustat lasit"
"I Want You Back";"The Jackson 5"
"Imagine";"John Lennon"
"Hard Rock Hallelujah";"Lordi"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"Papa Don't Preach";"Madonna"
"Juppihippipunkkari";"Neljä Ruusua"
"Smells Like Teen Spirit";"Nirvana"
"Moottoritie on kuuma";"Pelle Miljoona"
"Always on My Mind";"Pet Shop Boys"
"Pikkuveli";"PMMP"
"Roxanne";"The Police"
"Pitkä kuuma kesä";"Popeda"
"In the Shadows";"The Rasmus"
"Unchained Melody";"The Righteous Brothers"
"Wonderful World";"Sam Cooke"
"Tuhat yötä";"Samuli Edelmann & Sani"
"Elokuun 11.";"Suurlähettiläät"
"What's Love Got to Do with It?";"Tina Turner"
"The Greatest Love of All";"Whitney Houston"
"Joutsenlaulu";"Yö"
