"Respect";"Aretha Franklin"
"You're the First, the Last, My Everything";"Barry White"
"Paranoid";"Black Sabbath"
"Life on Mars?";"David Bowie"
"Enjoy the Silence";"Depeche Mode"
"Son of a Preacher Man";"Dusty Springfield"
"Let's Call the Whole Thing Off";"Ella Fitzgerald and Louis Armstrong"
"Rocket Man";"Elton John"
"Blue Suede Shoes";"Elvis Presley"
"Reet Petite";"Jackie Wilson"
"I Want You Back";"The Jackson 5"
"Imagine";"John Lennon"
"Ring of Fire";"Johnny Cash"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"Papa Don't Preach";"Madonna"
"I Heard It Through the Grapevine";"Marvin Gaye"
"Daydream Believer";"The Monkees"
"Smells Like Teen Spirit";"Nirvana"
"Always on My Mind";"Pet Shop Boys"
"Roxanne";"The Police"
"Unchained Melody";"The Righteous Brothers"
"Sympathy for the Devil";"The Rolling Stones"
"Wonderful World";"Sam Cooke"
"Geh Davon Aus";"Söhne Mannheims"
"Back for Good";"Take That"
"What's Love Got to Do with It?";"Tina Turner"
"1000 Gute Gründe";"Die Toten Hosen"
"Vertigo";"U2"
"The Greatest Love of All";"Whitney Houston"
"Wo Willst Du Hin?";"Xavier Naidoo"
