"Respect";"Aretha Franklin"
"You're the First, the Last, My Everything";"Barry White"
"Fiskene I Havet";"Blå Øjne"
"Smuk Som Et Stjerneskud";"Brødrene Olsen"
"Hvorlænge Vil Du Ydmyge Dig?";"Danser Med Drenge"
"Jeg Vil I Seng Med De Fleste";"Det Brune Punktum"
"Son of a Preacher Man";"Dusty Springfield"
"Blue Suede Shoes";"Elvis Presley"
"I Want You Back";"The Jackson 5"
"Imagine";"John Lennon"
"Der Er Noget Galt i Danmark";"John Mogensen"
"Ring of Fire";"Johnny Cash"
"Drømmer Jeg?";"Johnny Deluxe";"Anna Nordell"
"Hjertet Ser";"Karen Busck & Erann DD"
"Kald Det Kærlighed";"Lars Lilholt"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"Papa Don't Preach";"Madonna"
"I Heard It Through the Grapevine";"Marvin Gaye"
"Smells Like Teen Spirit";"Nirvana"
"Always on My Mind";"Pet Shop Boys"
"Roxanne";"The Police"
"Sommer I Europa";"Rasmus Nøhr"
"Unchained Melody";"The Righteous Brothers"
"Sympathy for the Devil";"The Rolling Stones"
"Everybody's Eyes on You";"Sanne Salomonsen"
"I Don't Mind";"Swan Lee"
"What's Love Got to Do with It?";"Tina Turner"
"Si' Du Kan Li' Mig";"Tøsedrengene"
"Hun Er Fri (Kvinden Og Lottokuglerne)";"Tue West"
"De Første Kærester På Månen";"TV-2"
