"Respect";"Aretha Franklin"
"You're the First, the Last, My Everything";"Barry White"
"Paranoid";"Black Sabbath"
"Parklife";"Blur"
"Life on Mars?";"David Bowie"
"Enjoy the Silence";"Depeche Mode"
"Son of a Preacher Man";"Dusty Springfield"
"Let's Call the Whole Thing Off";"Ella Fitzgerald and Louis Armstrong"
"Rocket Man";"Elton John"
"Blue Suede Shoes";"Elvis Presley"
"Reet Petite";"Jackie Wilson"
"I Want You Back";"The Jackson 5"
"Imagine";"John Lennon"
"Ring of Fire";"Johnny Cash"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"Papa Don't Preach";"Madonna"
"I Heard It Through the Grapevine";"Marvin Gaye"
"Daydream Believer";"The Monkees"
"Smells Like Teen Spirit";"Nirvana"
"Crazy";"Patsy Cline"
"Always on My Mind";"Pet Shop Boys"
"Roxanne";"The Police"
"Unchained Melody";"The Righteous Brothers"
"Sympathy for the Devil";"The Rolling Stones"
"Love Is the Drug";"Roxy Music"
"Wonderful World";"Sam Cooke"
"This Charming Man";"The Smiths"
"What's Love Got to Do with It?";"Tina Turner"
"Vertigo";"U2"
"The Greatest Love of All";"Whitney Houston"
