"Ami-Oh";"African Connection"
"Fallin'";"Alicia Keys"
"Obsesión";"Aventura"
"Bright Light";"Billy Crawford"
"No Woman, No Cry";"Bob Marley"
"Video Killed the Radio Star";"Buggles"
"Year 3000";"Busted"
"Girls Just Wanna Have Fun";"Cyndi Lauper"
"Survivor";"Destiny's Child"
"White Flag";"Dido"
"Laisse Parler Les Gens!!!";"Dis L'heure 2 Zouk"
"Don't Go Breaking My Heart";"Elton John & Kiki Dee"
"Build Me Up Buttercup";"The Foundations"
"Take Me Out";"Franz Ferdinand"
"Faith";"George Michael"
"Cosmic Girl";"Jamiroquai"
"Femme Like U";"K-Maro"
"I Should Be So Lucky";"Kylie Minogue"
"Tutti Frutti";"Little Richard"
"S'evader";"Lynnsha"
"This Love";"Maroon 5"
"Et C'est Parti";"Nâdiya"
"Parle-Moi";"Nâdiya"
"J'ai Des Choses À Te Dire";"Pearl"
"Just Like a Pill";"Pink"
"Every Breath You Take";"The Police"
"I Got You Babe";"Sonny & Cher"
"Who Do You Think You Are";"Spice Girls"
"L'Orphelin";"Willy Denzey"
"Le Mur Du Son";"Willy Denzey"
