"The Sun Always Shines on T.V.";"A-ha"
"Heartbeat";"Annie"
"Gal Av Lengsel";"Arne Schau Knudsen"
"Sk8er Boi";"Avril Lavigne"
"Crazy in Love";"Beyoncé"
"Girl In Oslo";"Bigbang"
"What's My Age Again?";"Blink-182"
"Should I Stay or Should I Go";"The Clash"
"Wild at Heart";"David"
"Lenge leve livet";"Dollie"
"Splinter Pine";"DumDum Boys"
"Kjendisparty";"Jaa9 & OnklP"
"Pa An Igjen";"Jan Eggum"
"Super Duper Love (Are You Diggin' on Me)";"Joss Stone"
"Vi Seiler Vår Egen Sjø";"Kaptein Sabeltann"
"Forelska I Laerer'n";"The Kids"
"In The Air Tonight";"Kine"
"In Your Eyes";"Kylie Minogue"
"Do Wah Diddy Diddy";"Manfred Mann"
"My Lullaby";"Maria Mena"
"Sunday People";"The Monroes"
"Loving You Girl";"Opus X"
"Sommerflørt";"Philip & Sandra"
"Let Me Entertain You";"Robbie Williams"
"Ut Mot Havet";"Rune Rudberg"
"Cries Like A Baby";"The September When"
"We Are Family";"Sister Sledge"
"Lukk Opp Din Hjertedør";"Sputnik"
"Born To Be Wild";"Steppenwolf"
"Vil Ha Deg";"Tine"
"It's Not Unusual";"Tom Jones"
