"Tears Dry On Their Own";"Amy Winehouse"
"Girl From Mars";"Ash"
"The Tide Is High";"Blondie"
"Girls & Boys";"Blur"
"Let's Dance";"David Bowie"
"I'm Coming Out";"Diana Ross"
"I'm Still Standing";"Elton John"
"Light Surrounding You";"Evermore"
"Call The Shots";"Girls Aloud"
"It's Not Over Yet";"Klaxons"
"Suddenly I See";"KT Tunstall"
"Mambo No. 5";"Lou Bega"
"House Of Fun";"Madness"
"Respectable";"Mel & Kim"
"Big Girl (You Are Beautiful)";"Mika"
"Get What You Want";"Operator Please"
"Mysterious Girl";"Peter André"
"Hey There Delilah";"Plain White T's"
"Disco 2000";"Pulp"
"Ready To Go";"Republica"
"Can't Touch It";"Ricki Lee"
"Umbrella";"Rihanna"
"Loud";"Shannon Noll"
"Red Dress";"Sugababes"
"Summer Son";"Texas"
"20 Good Reasons";"Thirsty Merc"
"Hold The Line";"Toto"
"Hook Me Up";"The Veronicas"
"Club Tropicana";"Wham!"
"The Only Way Is Up";"Yazz"
