"Lonely";"Akon"
"Black Coffee";"All Saints"
"Boyfriend";"Ashlee Simpson"
"My Happy Ending";"Avril Lavigne"
"...Baby One More Time";"Britney Spears"
"Everytime We Touch";"Cascada"
"Put Your Records On";"Corrine Bailey Rae"
"Bad Day";"Daniel Powter"
"I Begin To Wonder";"Dannii Minogue"
"Bring Me To Life";"Evanescence"
"Dance, Dance";"Fall Out Boy"
"No Good Advice";"Girls Aloud"
"Ooh La La";"Goldfrapp"
"Beware Of The Dog";"Jamelia"
"You Give Me Something";"James Morrison"
"Jenny From The Block";"Jennifer Lopez"
"Leave (Get Out)";"JoJo"
"Crystal Ball";"Keane"
"Littlest Things";"Lily Allen"
"Helena";"My Chemical Romance"
"Promiscuous";"Nelly Furtado";"Timbaland"
"Sexy Love";"Ne-Yo"
"Don't Know Why";"Norah Jones"
"Beep";"Pussycat Dolls"
"SOS";"Rihanna"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Push The Button";"Sugababes"
"Sing";"Travis"
"Beautiful Day";"U2"
"Switch It On";"Will Young"
