"Life Is A Flower";"Ace of Base"
"Black Coffee";"All Saints"
"Glorious";"Andreas Johnson"
"Cartoon Heroes";"Aqua"
"Boten Anna";"Basshunter"
"...Baby One More Time";"Britney Spears"
"Erase & Rewind";"Cardigans"
"Wonderchild";"Christian Walz"
"Bad Day";"Daniel Powter"
"Vill ha dej";"Drömhus"
"Save Tonight";"Eagle-Eye Cherry"
"Ooh La La";"Goldfrapp"
"I Won't Be Crying";"Infernal"
"Beware Of The Dog";"Jamelia"
"Jenny From The Block";"Jennifer Lopez"
"Drenge Som Mig";"Johnny Deluxe"
"Take My Time";"Junior Senior"
"Littlest Things";"Lily Allen"
"You're the Only One";"Maria Mena"
"Promiscuous";"Nelly Furtado";"Timbaland"
"Bright Idea";"Orson"
"Golden Touch";"Razorlight"
"SOS";"Rihanna"
"I Wish I Could Fly";"Roxette"
"Sweet Freedom";"Safri Duo"
"You've Never Been Loved Before";"Sanne Salomonsen"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Push The Button";"Sugababes"
"Come Along";"Titiyo"
"Beautiful Day";"U2"
