"A La Primera Persona";"Alejandro Sanz"
"Los Amantes";"Ana Torroja"
"Devuélveme La Vida";"Antonio Orozco"
"Duele";"El Arrebato"
"...Baby One More Time";"Britney Spears"
"Devuélveme La Vida";"Bustamante"
"Acuérdate Bien De Mi Cara";"La Caja de Pandora"
"Volverá";"El Canto del Loco"
"Te Regalo";"Carlos Baute"
"Rutinas";"Chenoa"
"Antes Que Ver El Sol";"Coti"
"Quién Me Iba A Decir?";"David Bisbal"
"Despertaré Cuando Te Vayas";"David de María"
"Déjame Verte";"Diego Martín & Raquel del Rosario"
"Let Me Out";"Dover"
"Amores Dormidos";"Edurne"
"No Me Crees";"Effecto Mariposa & Javier Ojeda"
"Criticar Por Criticar";"Fangoria"
"Por La Boca Vive El Pez";"Fito y Fitipaldis"
"Jenny From The Block";"Jennifer Lopez"
"Toda";"Malú"
"Quisiera Yo Saber";"Melendi"
"Bombón";"Merche"
"En Qué Estrella Estará?";"Nena Daconte"
"Dulce Locura";"La Oreja de Van Gogh"
"Como Lo Tienes Tú";"Pereza"
"Te Entiendo";"Pignoise"
"La Noche Me Resbala";"Señor Trepador"
"Nunca Volverá";"El Sueño de Morfeo"
"Beautiful Day";"U2"
