"Sempre Que Te Vejo";"4 Taste"
"Fico Assim Sem Você";"Adriana Partimpim"
"Just Girls";"Amarguinhas"
"Foi Feitiço";"André Sardet"
"Boyfriend";"Ashlee Simpson"
"My Happy Ending";"Avril Lavigne"
"Hip Hop (Sou Eu e És Tu)";"Boss AC"
"...Baby One More Time";"Britney Spears"
"Dançar na Corda Bamba";"Clã"
"Put Your Records On";"Corrine Bailey Rae"
"Bad Day";"Daniel Powter"
"The 80’s";"David Fonseca"
"Para Mim Tanto Faz";"D'ZRT"
"Bring Me To Life";"Evanescence"
"Fácil de Entender";"The Gift"
"Ooh La La";"Goldfrapp"
"Jenny From The Block";"Jennifer Lopez"
"Louco Por Ti";"João Pedro Pais"
"Leave (Get Out)";"JoJo"
"Luz Vaga";"Mesa & Rui Reininho"
"Promiscuous";"Nelly Furtado";"Timbaland"
"Don't Know Why";"Norah Jones"
"Jardins Proibidos";"Paulo Gonzo & Olavo Bilac"
"SOS";"Rihanna"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Push The Button";"Sugababes"
"Carta";"Toranja"
"Sing";"Travis"
"Beautiful Day";"U2"
"Ai Se Ele Cai";"Xutos & Pontapés"
