"When I'm Gone";"3 Doors Down"
"Boyfriend";"Ashlee Simpson"
"My Happy Ending";"Avril Lavigne"
"The Great Escape";"Boys Like Girls"
"Lose It";"Cartel"
"Bubbly";"Colbie Caillat"
"Not Ready to Make Nice";"Dixie Chicks"
"Ordinary World";"Duran Duran"
"Bring Me To Life";"Evanescence"
"Thnks fr th Mmrs";"Fall Out Boy"
"Big Girls Don't Cry";"Fergie"
"The Sweet Escape";"Gwen Stefani";"Akon"
"Tick Tick Boom";"The Hives"
"Jenny From the Block";"Jennifer Lopez"
"First Time";"Lifehouse"
"Littlest Things";"Lily Allen"
"Get it Shawty";"Lloyd"
"Makes Me Wonder";"Maroon 5"
"How Far We've Come";"Matchbox Twenty"
"Breathe";"Michelle Branch"
"Promiscuous";"Nelly Furtado"
"Don't Know Why";"Norah Jones"
"Your Love";"The Outfield"
"Young Folks";"Peter Bjorn and John"
"Who Knew";"P!nk"
"Hey There Delilah";"Plain White T's"
"Umbrella";"Rihanna"
"Into The Night";"Santana";"Chad Kroeger"
"Walkie Talkie Man";"Steriogram"
"Fat Lip";"Sum 41"
