"Sin Tí No Soy Nada";"Amaral"
"El Universo Sobre Mí";"Amaral"
"Estoy Por Tí";"Amistades Peligrosas"
"Búscate Un Hombre Que Te Quiera";"El Arrebato"
"Una Noche Con Arte";"El Arrebato"
"Cuando Zarpa El Amor";"Camela"
"Should I Stay or Should I Go";"The Clash"
"Bulería";"David Bisbal"
"Camina y Ven";"David Bisbal"
"Que Yo No Lo Sabía";"Elefantes"
"Cuando Los Sapos Bailen Flamenco";"Ella Baila Sola"
"Lo Echamos A Suertes";"Ella Baila Sola"
"La Culpa Fue Del Cha-Cha-Chá";"Gabinete Caligari"
"Iberia Sumergida";"Héroes del Silencio"
"Mar Adentro";"Héroes del Silencio"
"Te Perdí";"Iguana Tango"
"La Flaca";"Jarabe de Palo"
"Cadillac Solitario";"Loquillo y los Trogloditas"
"Idiota";"Los Ronaldos"
"Caminando Por La Vida";"Melendi"
"Con La Luna Llena";"Melendi"
"Hablando En Plata";"Melendi"
"Frío Sin Tí";"Navajita Plateá"
"Noches de Bohemia";"Navajita Plateá"
"Ojú";"Las Niñas"
"Dámelo Ya";"Pastora Soler"
"Tengo";"Queco"
"Llevo Tu Voz";"La Sonrisa de Julia"
"Eres Un Enfermo";"Las Supremas de Móstoles"
"It's Not Unusual";"Tom Jones"
