"Revolución";"Amaral"
"No Hay Tregua";"Barricada"
"Song 2";"Blur"
"Besos";"El Canto del Loco"
"Speed of Sound";"Coldplay"
"Voy En Un Coche";"Cristina y los Subterráneos"
"Serenade";"Dover"
"So Payaso";"Extremoduro"
"La Casa por el Tejado";"Fito y Fitipaldis"
"Antes y Después";"Hamlet"
"Maldito Duende";"Héroes del Silencio"
"El Blues De Lo Que Pasa En Mi Escalera";"Joaquín Sabina"
"Everybody's Changing";"Keane"
"El Ritmo del Garaje";"Loquillo y los Trogloditas"
"Promesas Que No Valen Nada";"Los Piratas"
"Palabras Más, Palabras Menos";"Los Rodríguez"
"La Costa del Silencio";"Mägo de Oz"
"Ciudad de los Gitanos";"Marea"
"Sopa Fría";"M-Clan"
"Necesito Respirar";"Medina Azahara"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"Pienso en Aquella Tarde";"Pereza"
"Juliette";"Platero y Tú"
"Pongamos Que Hablo de Madrid";"Porretas"
"Paint It, Black";"The Rolling Stones"
"Vaya Ejemplar de Primavera";"Rosendo"
"Quiero Tener Tu Presencia";"Seguridad Social"
"¿Quiénes Somos? ¿De Dónde Venimos? ¿A Dónde Vamos?";"Siniestro Total"
"Arrepentido";"Sôber"
