"Vingt ans";"Arkol"
"Y'a une fille qu'habite chez moi";"Bénabar"
"Banquet";"Bloc Party"
"Song 2";"Blur"
"Speed of Sound";"Coldplay"
"Tes lacets sont des fées";"Dionysos"
"C'est pour toi";"Dolly"
"Debout";"Elista"
"You Got Me";"Eskobar & Emma Daumas"
"Do You Want To";"Franz Ferdinand"
"What You Waiting For?";"Gwen Stefani"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Everybody's Changing";"Keane"
"Somebody Told Me";"The Killers"
"La maison de disque";"Kinito"
"Dernière danse";"Kyo"
"Le chemin";"Kyo";"Sita"
"Je dis aime";"M"
"Remède";"Mass Hysteria"
"Je m'en vais";"Miossec"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"Caravane";"Raphaël"
"Paint It, Black";"The Rolling Stones"
"Vas y avoir du sport";"Silmarils"
"Ca m'fait plus mal";"Sinclair"
"Supernova superstar";"Sinclair"
"Radio Song";"Superbus"
"Fragile";"Têtes Raides"
