"Respect";"Aretha Franklin"
"Love Shack";"B-52s"
"Banquet";"Bloc Party"
"Song 2";"Blur"
"Speed of Sound";"Coldplay"
"Friday I'm in Love";"The Cure"
"Summertime";"DJ Jazzy Jeff & The Fresh Prince"
"Son Of A Preacher Man";"Dusty Springfield"
"Rocket Man";"Elton John"
"Dance, Dance";"Fall Out Boy"
"I Will Survive";"Gloria Gaynor"
"Girls & Boys";"Good Charlotte"
"Cool";"Gwen Stefani"
"Hate to Say I Told You So";"The Hives"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Super Duper Love (Are You Diggin On Me?)";"Joss Stone"
"Everybody's Changing";"Keane"
"Somebody Told Me";"The Killers"
"Black Horse And The Cherry Tree";"KT Tunstall"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"I Heard It Through the Grapevine";"Marvin Gaye"
"(There's) Always Something There to Remind Me";"Naked Eyes"
"Self Esteem";"The Offspring"
"Every Breath You Take";"The Police"
"Paint It, Black";"The Rolling Stones"
"Take Your Mama";"Scissor Sisters"
"Wind Of Change";"Scorpions"
"The Boys Are Back in Town";"Thin Lizzy"
"Blue Orchid";"The White Stripes"
