"Cruella De Vil";"101 Dalmatians"
"A Whole New World";"Aladdin"
"Ev'rybody Wants To Be A Cat";"The Aristocats"
"Beauty And The Beast";"Beauty And The Beast"
"Bibbidi-Bobbidi-Boo";"Cinderella"
"The Work Song";"Cinderella"
"Bare Necessities";"The Jungle Book"
"I Wanna Be Like You";"The Jungle Book"
"He's A Tramp";"Lady and the Tramp"
"I Just Can't Wait To Be King";"The Lion King"
"The Circle Of Life";"The Lion King"
"Kiss The Girl";"The Little Mermaid"
"Under The Sea";"The Little Mermaid"
"Following The Leader";"Peter Pan"
"You Can Fly! You Can Fly! You Can Fly!";"Peter Pan"
"I Wonder";"Sleeping Beauty"
"Once Upon A Dream";"Sleeping Beauty"
"Son Of Man";"Tarzan"
"You've Got A Friend In Me";"Toy Story"
"Winnie The Pooh";"Winnie The Pooh"
