"10.000 Nights Of Thunder";"Alphabeat"
"Fascination";"Alphabeat"
"Tears Dry On Their Own";"Amy Winehouse"
"Dr. Jones";"Aqua"
"Dans For Satan";"Bliglad"
"Kærlighed Til Folket";"Bliglad"
"Girls & Boys";"Blur"
"Who Is He?";"Burhan G"
"To the Lighthouse";"moi Caprice"
"The One And Only";"Chesney Hawkes"
"Let's Dance";"David Bowie"
"I'm Coming Out";"Diana Ross"
"I'm Still Standing";"Elton John"
"From Paris to Berlin";"Infernal"
"Suddenly I See";"KT Tunstall"
"Nordhavn Station";"Magtens Korridorer"
"Respectable";"Mel & Kim"
"Ildebrand I Byen";"Natasja";"Pharfar"
"Op med Ho'det";"Natasja"
"Mysterious Girl";"Peter André"
"Disco 2000";"Pulp"
"In The Morning";"Razorlight"
"Umbrella";"Rihanna"
"Der står et billed' af dig på mit bord";"Rollo & King"
"Spleen United";"Spleen Utd"
"Red Dress";"Sugababes"
"Fantastiske Mandag";"Thomas Buttenschön"
"Hold The Line";"Toto"
"Times (Blue Signs)";"Troels Gustavsen"
"The Only Way Is Up";"Yazz"
