"Viajar Contigo";"Álex Ubago"
"Tears Dry On Their Own";"Amy Winehouse"
"Son de Amores";"Andy y Lucas"
"Dime Porqué";"Antonio Orozco"
"Girls & Boys";"Blur"
"Zapatillas";"El Canto del Loco"
"Cuéntame Un Cuento";"Celtas Cortos"
"Todo Irá Bien";"Chenoa"
"Canción de Adios";"Coti"
"Let's Dance";"David Bowie"
"Precisamente Ahora";"David de María"
"Good Enough";"Dodgy"
"Me Equivocaría Otra Vez";"Fito y Fitipaldis"
"Chico, Tienes Que Cuidarte";"Hombres G"
"Extraño";"Iguana Tango"
"Adiós";"Jaula de Grillos"
"Me Enamora";"Juanes"
"I Predict A Riot";"Kaiser Chiefs"
"It's Not Over Yet";"Klaxons"
"Mambo No. 5";"Lou Bega"
"Con Solo Una Sonrisa";"Melendi"
"Marta";"Nena Daconte"
"En Mi Lado del Sofá";"La Oreja de Van Gogh"
"Corazón Congelado";"Pastora Soler"
"Hey There Delilah";"Plain White T's"
"Umbrella";"Rihanna"
"Me Siento Bien";"Seguridad Social"
"Demasiado Tarde";"El Sueño de Morfeo"
"Atrapados En La Red";"Tam Tam Go"
"Summer Son";"Texas"
