"Tears Dry On Their Own";"Amy Winehouse"
"Eu Estou Aqui (Yo sou aquél)";"Anjos"
"Girls & Boys";"Blur"
"Tira A Teima";"Clã"
"Dúia";"Da Weasel"
"Let's Dance";"David Bowie"
"Superstars II";"David Fonseca"
"Good Enough";"Dodgy"
"Ok! Do You Want Something Simple?";"The Gift"
"Question Of Love";"The Gift"
"Feeling Alive";"Gomo"
"Maria Albertina";"Humanos"
"Suddenly I See";"KT Tunstall"
"Mambo No. 5";"Lou Bega"
"House Of Fun";"Madness"
"Tatuagens";"Mafalda Veiga & João Pedro Pais"
"Respectable";"Mel & Kim"
"Big Girl (You Are Beautiful)";"Mika"
"Põe Aquele Som";"Mundo Secreto"
"Não Posso +";"Pedro Abrunhosa e Bandemónio"
"Hey There Delilah";"Plain White T's"
"Disco 2000";"Pulp"
"Pequeno T2";"Ricardo Azevedo"
"Umbrella";"Rihanna"
"Red Dress";"Sugababes"
"Dança Este Som";"T.T."
"Summer Son";"Texas"
"Canção Simples";"Tiago Bettencourt & Mantha"
"Circo De Feras";"Xutos e Pontapés"
"The Only Way Is Up";"Yazz"
