"Das Spiel";"Annett Louisan"
"Pieces of Me";"Ashlee Simpson"
"Sk8er Boi";"Avril Lavigne"
"Crazy in Love";"Beyoncé"
"Shut Up";"Black Eyed Peas"
"What's My Age Again?";"Blink-182"
"Should I Stay or Should I Go";"The Clash"
"Bohemian Like You";"The Dandy Warhols"
"Geboren";"Die Fantastischen Vier"
"I Just Wanna Live";"Good Charlotte"
"The Reason";"Hoobastank"
"Stop";"Jamelia"
"Super Duper Love (Are You Diggin' on Me)";"Joss Stone"
"Somewhere Only We Know";"Keane"
"In Your Eyes";"Kylie Minogue"
"Alles an dir";"Laith Al-Deen"
"Do Wah Diddy Diddy";"Manfred Mann"
"Angel of Berlin";"Martin Kesici"
"Obviously";"McFly"
"These Words";"Natasha Bedingfield"
"Roses";"OutKast"
"Abenteuerland";"Pur"
"Supergirl";"Reamonn"
"Let Me Entertain You";"Robbie Williams"
"Kids";"Robbie Williams and Kylie Minogue"
"Father and Son";"Ronan Keating";"Yusuf Islam"
"Willkommen";"Rosenstolz"
"We Are Family";"Sister Sledge"
"Born To Be Wild";"Steppenwolf"
"It's Not Unusual";"Tom Jones"
