"Take On Me";"A-ha"
"Eternal Flame";"Atomic Kitten"
"Complicated";"Avril Lavigne"
"One Love";"Blue"
"Do You";"Bro'Sis"
"Kung Fu Fighting";"Carl Douglas"
"Thank You";"Dido"
"Steh auf, wenn du am Boden bist";"Die Toten Hosen"
"Suspicious Minds";"Elvis Presley"
"Rock Me Amadeus";"Falco"
"Sie Ist Weg";"Fantastischen Vier"
"Careless Whisper";"George Michael"
"Superstar";"Jamelia"
"Deeper Underground";"Jamiroquai"
"Bilder Von Dir";"Laith Al-Deen"
"Three Lions";"Lightning Seeds"
"Like a Virgin";"Madonna"
"Ace of Spades";"Motörhead"
"Someday";"No Angels"
"5 Days";"Patrick Nuo"
"Major Tom";"Peter Schilling"
"Downtown";"Petula Clark"
"Get the Party Started";"P!nk"
"Never Gonna Give You Up";"Rick Astley"
"Livin' la Vida Loca";"Ricky Martin"
"Oh, Pretty Woman";"Roy Orbison"
"Don't Stop Movin'";"S Club"
"Murder on the Dancefloor";"Sophie Ellis-Bextor"
"Round Round";"Sugababes"
"Y.M.C.A.";"Village People"
