"Uptown Girl";"Billy Joel"
"Atomic";"Blondie"
"Karma Chameleon";"Culture Club"
"She Bop";"Cyndi Lauper"
"Come On Eileen";"Dexys Midnight Runners"
"The Final Countdown";"Europe"
"I Want to Know What Love Is";"Foreigner"
"The Power of Love";"Frankie Goes to Hollywood"
"Bruttosozialprodukt";"Geier Sturzflug"
"Sternenhimmel";"Hubert Kah"
"Der Knutschfleck";"IXI"
"Goldener Reiter";"Joachim Witt"
"Walking on Sunshine";"Katrina and the Waves"
"Neverending Story";"Limahl"
"Fire & Ice";"Marietta"
"Kayleigh";"Marillion"
"Cheri Cheri Lady";"Modern Talking"
"Ohne Dich (Schlaf’ Ich Heut’ Nacht Nicht Ein)";"Münchener Freiheit"
"99 Luftballons";"Nena"
"Jenseits Von Eden";"Nino de Angelo"
"Live Is Life";"Opus"
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"We Built This City";"Starship"
"Eye of the Tiger";"Survivor"
"Everybody Wants to Rule the World";"Tears for Fears"
"The Best";"Tina Turner"
"New York, Rio, Tokyo";"Trio Rio"
"Sexy";"Westernhagen"
"Wake Me Up Before You Go-Go";"Wham!"
