"Uptown Girl";"Billy Joel"
"Atomic";"Blondie"
"C'est La Ouate";"Caroline Loeb"
"Boule de flipper";"Corynne Charby"
"Est-Ce Que Tu Viens Pour Les Vacances";"David et Jonathan"
"T'en va pas";"Elsa"
"The Final Countdown";"Europe"
"Words";"F. R. David"
"Plus Près Des étoiles";"Gold"
"Just an Illusion";"Imagination"
"Need You Tonight";"INXS"
"Ève lève-toi";"Julie Pietri"
"Running Up That Hill";"Kate Bush"
"Walking on Sunshine";"Katrina and the Waves"
"Le Bal Masqué";"La Compagnie Créole"
"T'as Le Look Coco";"Laroche Valmont"
"Les Brunes";"Lio"
"Our House";"Madness"
"Material Girl";"Madonna"
"99 Red Balloons";"Nena"
"Live Is Life";"Opus"
"T'es OK";"Ottawan"
"Il Tape Sur Des Bambous";"Philippe Lavil"
"Sarà perché ti amo";"Ricchi e Poveri"
"Les Bêtises";"Sabine Paturel"
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"Ouragan";"Stéphanie"
"Everybody Wants to Rule the World";"Tears for Fears"
"Wake Me Up Before You Go-Go";"Wham!"
