"Heaven Is a Place on Earth";"Belinda Carlisle"
"Atomic";"Blondie"
"Za Ostatni Grosz";"Budka Suflera"
"Karma Chameleon";"Culture Club"
"Just Like Heaven";"The Cure"
"Rio";"Duran Duran"
"A Little Respect";"Erasure"
"The Final Countdown";"Europe"
"I Want to Know What Love Is";"Foreigner"
"The Power of Love";"Frankie Goes to Hollywood"
"Twoja Lorelei";"Kapitan Nemo"
"Walking on Sunshine";"Katrina and the Waves"
"Jezu, Jak Się Cieszę";"Klaus Mitffoch"
"Kocham Cię Jak Irlandię";"Kobranocka"
"Kryzysowa Narzeczona";"Lady Pank"
"Kocham Cię, Kochanie Moje";"Maanam"
"Material Girl";"Madonna"
"A Ja Wolę Moją Mamę";"Majka Jeżowska"
"Szklana Pogoda";"Małgorzata Ostrowska"
"Nasz Disneyland";"Papa Dance"
"Córka Rybaka";"Rudi Schuberth"
"It's Tricky";"Run–D.M.C."
"Baw Mnie";"Seweryn Krajewski"
"Tainted Love";"Soft Cell"
"Runął Już Ostatni Mur";"Tilt"
"The Best";"Tina Turner"
"Ice Ice Baby";"Vanilla Ice"
"Bananowy Song";"Vox"
"Wake Me Up Before You Go-Go";"Wham!"
"Chałupy Welcome To";"Zbigniew Wodecki"
