"Poison";"Alice Cooper"
"Uptown Girl";"Billy Joel"
"Atomic";"Blondie"
"Hallå hela pressen";"Chattanooga"
"Det Hon Vill Ha";"Christer Sandelin"
"Ooh I Like It!";"The Creeps"
"Karma Chameleon";"Culture Club"
"Come On Eileen";"Dexys Midnight Runners"
"Vem Skall Jag Tro På!";"Di Leva"
"9 to 5";"Dolly Parton"
"Rio";"Duran Duran"
"A Little Respect";"Erasure"
"The Final Countdown";"Europe"
"Efter plugget";"Factory"
"Perfect";"Fairground Attraction"
"I Want to Know What Love Is";"Foreigner"
"The Power of Love";"Frankie Goes to Hollywood"
"Fantasi";"Freestyle"
"Växeln hallå";"Janne Lucas"
"Walking on Sunshine";"Katrina and the Waves"
"Material Girl";"Madonna"
"Brass in Pocket";"The Pretenders"
"Så länge vi har varann";"Ratata & Frida"
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"We Built This City";"Starship"
"Eye of the Tiger";"Survivor"
"Everybody Wants to Rule the World";"Tears for Fears"
"The Best";"Tina Turner"
"Wake Me Up Before You Go-Go";"Wham!"
