"Never Ever";"All Saints"
"Barbie Girl";"Aqua"
"Love Shack";"The B-52's"
"One Week";"Barenaked Ladies"
"Achy Breaky Heart";"Billy Ray Cyrus"
"Lovefool";"The Cardigans"
"Zombie";"The Cranberries"
"Mmm Mmm Mmm Mmm";"Crash Test Dummies"
"Friday I'm in Love";"The Cure"
"I Touch Myself";"Divinyls"
"Unbelievable";"EMF"
"Hey Jealousy";"Gin Blossoms"
"Stay (I Missed You)";"Lisa Loeb"
"Moving On Up";"M People"
"U Can't Touch This";"MC Hammer"
"Bitch";"Meredith Brooks"
"Torn";"Natalie Imbruglia"
"Step by Step";"New Kids on the Block"
"Where the Wild Roses Grow";"Nick Cave & Kylie Minogue"
"Unskinny Bop";"Poison"
"Everybody Hurts";"R.E.M."
"Creep";"Radiohead"
"Only to Be with You";"Roachford"
"I Want You";"Savage Garden"
"Kiss from a Rose";"Seal"
"Baby Got Back";"Sir Mix-a-Lot"
"Wannabe";"Spice Girls"
"Two Princes";"Spin Doctors"
"Pump Up the Jam";"Technotronic";"Felly"
"Love Is All Around";"Wet Wet Wet"
