"I Heard a Rumour";"Bananarama"
"Total Eclipse of the Heart";"Bonnie Tyler"
"Making Your Mind Up";"Bucks Fizz"
"Young Hearts Run Free";"Candi Staton"
"I've Never Been to Me";"Charlene"
"Crazy Chick";"Charlotte Church"
"If I Could Turn Back Time";"Cher"
"You Spin Me Round (Like a Record)";"Dead or Alive"
"Biology";"Girls Aloud"
"I Will Survive";"Gloria Gaynor"
"Kids in America";"Kim Wilde"
"Can't Fight the Moonlight";"LeAnn Rimes"
"Don't Cha";"The Pussycat Dolls"
"Radio Ga Ga";"Queen"
"Laura";"Scissor Sisters"
"Deeper Shade of Blue";"Steps"
"Relight My Fire";"Take That";"Lulu"
"Free";"Ultra Naté"
"It's Raining Men";"The Weather Girls"
"I Wanna Dance with Somebody (Who Loves Me)";"Whitney Houston"
