"I Know UR Girlfriend Hates Me";"Annie"
"When You're Gone";"Avril Lavigne"
"Acceptable in the 80s";"Calvin Harris"
"Bubbly";"Colbie Caillat"
"You Will Only Break My Heart";"Delta Goodrem"
"Thnks fr th Mmrs";"Fall Out Boy"
"Clumsy";"Fergie"
"Paralyzer";"Finger Eleven"
"How to Save a Life";"The Fray"
"Sweet About Me";"Gabriella Cilmi"
"LDN";"Lily Allen"
"Makes Me Wonder";"Maroon 5"
"Grace Kelly";"Mika"
"Love Today";"Mika"
"Teenagers";"My Chemical Romance"
"All Good Things (Come to an End)";"Nelly Furtado"
"Just for Tonight";"One Night Only"
"Stop and Stare";"OneRepublic"
"Just a Song About Ping Pong";"Operator Please"
"Don't Hold Back";"The Potbelleez"
"Lost and Running";"Powderfinger"
"Can't Sing a Different Song";"Ricki-Lee"
"Black and Gold";"Sam Sparro"
"Beautiful Girls";"Sean Kingston"
"Pictures";"Sneaky Sound System"
"Chasing Cars";"Snow Patrol"
"Great DJ";"The Ting Tings"
"That's Not My Name";"The Ting Tings"
"Perfect";"Vanessa Amorosi"
"I Got It From My Mama";"will.i.am"
