"Una canzone d'amore";"883"
"Respect";"Aretha Franklin"
"You're the First, the Last, My Everything";"Barry White"
"Confusa e felice";"Carmen Consoli"
"Parole di burro";"Carmen Consoli"
"Life on Mars?";"David Bowie"
"Enjoy the Silence";"Depeche Mode"
"Son of a Preacher Man";"Dusty Springfield"
"Rocket Man";"Elton John"
"Blue Suede Shoes";"Elvis Presley"
"Reet Petite";"Jackie Wilson"
"I Want You Back";"The Jackson 5"
"Imagine";"John Lennon"
"Bella";"Jovanotti"
"Ragazzo Fortunato";"Jovanotti"
"A che ora è la fine del mondo?";"Ligabue"
"Sweet Home Alabama";"Lynyrd Skynyrd"
"Papa Don't Preach";"Madonna"
"I Heard It Through the Grapevine";"Marvin Gaye"
"Smells Like Teen Spirit";"Nirvana"
"Always on My Mind";"Pet Shop Boys"
"Roxanne";"The Police"
"Uomini soli";"Pooh"
"Sympathy for the Devil";"The Rolling Stones"
"Wonderful World";"Sam Cooke"
"What's Love Got to Do with It?";"Tina Turner"
"Vertigo";"U2"
"The Greatest Love of All";"Whitney Houston"
"Con le mani";"Zucchero"
"Diamante";"Zucchero"
