"You're the First, the Last, My Everything";"Barry White"
"Just a Friend";"Biz Markie"
"Paranoid";"Black Sabbath"
"Total Eclipse of the Heart";"Bonnie Tyler"
"Life on Mars?";"David Bowie"
"Son of a Preacher Man";"Dusty Springfield"
"Let's Call the Whole Thing Off";"Ella Fitzgerald and Louis Armstrong"
"I'm Still Standing";"Elton John"
"Blue Suede Shoes";"Elvis Presley"
"Touch of Grey";"Grateful Dead"
"I Want You Back";"The Jackson 5"
"I Got You (I Feel Good)";"James Brown"
"Imagine";"John Lennon"
"Ring of Fire";"Johnny Cash"
"Love Will Tear Us Apart";"Joy Division"
"Papa Don't Preach";"Madonna"
"What's Going On";"Marvin Gaye"
"I Keep Forgettin' (Every Time You're Near)";"Michael McDonald"
"Daydream Believer";"The Monkees"
"Smells Like Teen Spirit";"Nirvana"
"Crazy";"Patsy Cline"
"Roxanne";"The Police"
"Hit the Road Jack";"Ray Charles"
"Unchained Melody";"The Righteous Brothers"
"Sympathy for the Devil";"The Rolling Stones"
"Wonderful World";"Sam Cooke"
"This Charming Man";"The Smiths"
"What's Love Got to Do with It?";"Tina Turner"
"What's New Pussycat?";"Tom Jones"
"I'm Your Baby Tonight";"Whitney Houston"
