"Fallin'";"Alicia Keys"
"Solid";"Ashford & Simpson"
"Venus";"Bananarama"
"Ain't No Sunshine";"Bill Withers"
"No Woman, No Cry";"Bob Marley"
"Video Killed the Radio Star";"Buggles"
"Do You Really Want to Hurt Me";"Culture Club"
"Girls Just Wanna Have Fun";"Cyndi Lauper"
"Just A Gigolo/I Ain't Got Nobody";"David Lee Roth"
"Survivor";"Destiny's Child"
"White Flag";"Dido"
"Es war Sommer";"Dieter Thomas Kuhn"
"Hungry Like the Wolf";"Duran Duran"
"Don't Go Breaking My Heart";"Elton John & Kiki Dee"
"Way Down";"Elvis Presley"
"Build Me Up Buttercup";"The Foundations"
"Faith";"George Michael"
"Cosmic Girl";"Jamiroquai"
"1000 und 1 Nacht";"Klaus Lage"
"I Should Be So Lucky";"Kylie Minogue"
"Tutti Frutti";"Little Richard"
"This Love";"Maroon 5"
"51st State of America";"New Model Army"
"Just Like a Pill";"Pink"
"Every Breath You Take";"The Police"
"König von Deutschland";"Rio Reiser"
"I Got You Babe";"Sonny & Cher"
"Gold";"Spandau Ballet"
"Who Do You Think You Are";"Spice Girls"
"Skandal im Sperrbezirk";"Spider Murphy Gang"
