"No Es Lo Mismo";"Alejandro Sanz"
"Sin Miedo A Nada";"Álex Ubago"
"Video Killed the Radio Star";"Buggles"
"La Lola";"Café Quijano"
"Otra Vez";"Coti"
"Ave María";"David Bisbal"
"Dos Hombres Y Un Destino";"David Bustamante & Alex"
"En Algún Lugar";"Duncan Dhu"
"Don't Go Breaking My Heart";"Elton John & Kiki Dee"
"Retorciendo Palabras";"Fangoria"
"Build Me Up Buttercup";"The Foundations"
"Uno Más Uno Son Siete";"Fran Perea"
"Yin Yang";"Jarabe de Palo"
"Es Por Ti";"Juanes"
"Tú Volverás";"Ketama"
"Carolina";"M Clan"
"Desesperada";"Marta Sánchez"
"Amante Bandido";"Miguel Bosé"
"Bienvenidos";"Miguel Ríos"
"Loko";"Mürfila"
"La Chica de Ayer";"Nacha Pop"
"Un Beso Y Una Flor";"Nino Bravo"
"Rosas";"La Oreja de Van Gogh"
"Just Like a Pill";"Pink"
"Every Breath You Take";"The Police"
"Cómo Hemos Cambiado";"Presuntos Implicados"
"Si Es Tan Sólo Amor";"Revólver"
"Quiero Besarte";"Roser"
"Chiquilla";"Seguridad Social"
"I Got You Babe";"Sonny & Cher"
