"Come Mai";"883"
"Dimmi come...";"Alexia"
"Fallin'";"Alicia Keys"
"Laisse Parler Les Gens!!!";"Anna Oxa"
"Ain't No Sunshine";"Bill Withers"
"Altre Forme Di Vita";"Bluvertigo"
"No Woman, No Cry";"Bob Marley"
"Video Killed the Radio Star";"Buggles"
"Girls Just Wanna Have Fun";"Cyndi Lauper"
"Un Giorno D'amore";"Daniele Stefani"
"Survivor";"Destiny's Child"
"White Flag";"Dido"
"Hungry Like the Wolf";"Duran Duran"
"Si Tratta Dell'amore";"Edoardo Bennato"
"Don't Go Breaking My Heart";"Elton John & Kiki Dee"
"Vivere A Colori";"Fiorello"
"Build Me Up Buttercup";"The Foundations"
"Take Me Out";"Franz Ferdinand"
"Faith";"George Michael"
"Bambine Cattive";"Irene Grandi"
"Cosmic Girl";"Jamiroquai"
"Il Mare D'inverno";"Loredana Bertè"
"This Love";"Maroon 5"
"Blu";"Paola e Chiara"
"Just Like a Pill";"Pink"
"Every Breath You Take";"The Police"
"I Got You Babe";"Sonny & Cher"
"Gente Come Noi";"Spagna"
"Who Do You Think You Are";"Spice Girls"
"Fasi";"Zeropositivo"
