"Fallin'";"Alicia Keys"
"Solid";"Ashford & Simpson"
"A Little Time";"The Beautiful South"
"Ain't No Sunshine";"Bill Withers"
"Hit 'Em Up Style (Oops!)";"Blu Cantrell"
"No Woman, No Cry";"Bob Marley"
"Video Killed the Radio Star";"Buggles"
"Year 3000";"Busted"
"Girls Just Wanna Have Fun";"Cyndi Lauper"
"Survivor";"Destiny's Child"
"White Flag";"Dido"
"Hungry Like the Wolf";"Duran Duran"
"Don't Go Breaking My Heart";"Elton John & Kiki Dee"
"Way Down";"Elvis Presley"
"Build Me Up Buttercup";"The Foundations"
"Take Me Out";"Franz Ferdinand"
"Faith";"George Michael"
"Cosmic Girl";"Jamiroquai"
"Real Things";"Javine"
"I Should Be So Lucky";"Kylie Minogue"
"Tutti Frutti";"Little Richard"
"This Love";"Maroon 5"
"Single";"Natasha Bedingfield"
"Just Like a Pill";"Pink"
"Every Breath You Take";"The Police"
"Take Your Mama";"Scissor Sisters"
"I Got You Babe";"Sonny & Cher"
"Gold";"Spandau Ballet"
"Who Do You Think You Are";"Spice Girls"
"I Think We're Alone Now";"Tiffany"
