"Black Coffee";"All Saints"
"My Happy Ending";"Avril Lavigne"
"...Baby One More Time";"Britney Spears"
"Everytime We Touch";"Cascada"
"Put Your Records On";"Corrine Bailey Rae"
"Bad Day";"Daniel Powter"
"Bring Me To Life";"Evanescence"
"No Good Advice";"Girls Aloud"
"Ooh La La";"Goldfrapp"
"You Give Me Something";"James Morrison"
"Für Immer Und Dich";"Jan Delay"
"Jenny From The Block";"Jennifer Lopez"
"It's Not That Easy";"Lemar"
"Tanz Der Moleküle";"MIA."
"Promiscuous";"Nelly Furtado";"Timbaland"
"Don't Know Why";"Norah Jones"
"Bright Idea";"Orson"
"Mit Dir Chill'n";"Revolverheld"
"SOS";"Rihanna"
"Ich Geh In Flammen Auf";"Rosenstolz"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Sommer Unseres Lebens";"Sebastian Hämer"
"Push The Button";"Sugababes"
"Fairytale Gone Bad";"Sunrise Avenue"
"I Still Burn";"Tobias Regner"
"Sing";"Travis"
"Beautiful Day";"U2"
"Mama";"US5"
"Aurélie";"Wir sind Helden"
"Zeilen Aus Gold";"Xavier Naidoo"
