"Lonely";"Akon"
"Trudno Mi Się Przyznać";"Ania"
"...Baby One More Time";"Britney Spears"
"Everytime We Touch";"Cascada"
"Put Your Records On";"Corrine Bailey Rae"
"Bring Me To Life";"Evanescence"
"I RNB";"Ewa Sonnet"
"Pozwól Żyć";"Gosia Andrzejewicz"
"Smak Słów";"Goya"
"A Ty?";"Hey"
"Mimo Wszystko";"Hey"
"Jak Zapomnieć";"Jeden Osiem L"
"Jenny From The Block";"Jennifer Lopez"
"Na Kolana";"Kasia Cerekwicka"
"Potrafię Kochać";"Kasia Cerekwicka"
"Toksyczna Miłość";"Kasia Klich"
"Testosteron";"Kayah"
"Prócz Ciebie Nic";"Krzysztof Kiljański";"Kayah"
"Moja Panienka";"Lerek";"Nowator"
"Oczy Szeroko Zamknięte";"Łzy"
"Sacrum";"Mezo / Tabb / Kasia Wilk"
"Znam Cię Na pamięć";"Monika Brodka"
"Promiscuous";"Nelly Furtado";"Timbaland"
"Don't Know Why";"Norah Jones"
"SOS";"Rihanna"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Na Dwa";"Sistars"
"Push The Button";"Sugababes"
"12 Łez";"Sylwia Wiśniewska"
"Beautiful Day";"U2"
