"Pieces of Me";"Ashlee Simpson"
"Sk8er Boi";"Avril Lavigne"
"Crazy in Love";"Beyoncé"
"Sway";"Bic Runga"
"Shut Up";"Black Eyed Peas"
"What's My Age Again?";"Blink-182"
"Should I Stay or Should I Go";"The Clash"
"Bohemian Like You";"The Dandy Warhols"
"Born to Try";"Delta Goodrem"
"Paid in Full";"Eric B. & Rakim"
"It's Too Late";"Evermore"
"Stacy's Mom";"Fountains of Wayne"
"I Just Wanna Live";"Good Charlotte"
"The Reason";"Hoobastank"
"New Sensation";"INXS"
"Stop";"Jamelia"
"In Your Eyes";"Kylie Minogue"
"Do Wah Diddy Diddy";"Manfred Mann"
"Scar";"Missy Higgins"
"These Words";"Natasha Bedingfield"
"Roses";"OutKast"
"Let Me Entertain You";"Robbie Williams"
"Kids";"Robbie Williams and Kylie Minogue"
"Father and Son";"Ronan Keating";"Yusuf Islam"
"To The Moon And Back";"Savage Garden"
"What About Me";"Shannon Noll"
"We Are Family";"Sister Sledge"
"My Boyfriend's Back";"Spazzys"
"Born To Be Wild";"Steppenwolf"
"It's Not Unusual";"Tom Jones"
