"Canzone D'amore";"Aeroplanitaliani"
"Non È Per Sempre";"Afterhours"
"Oggi Sono Io";"Alex Britti"
"Da Grande";"Alexia"
"Sk8er Boi";"Avril Lavigne"
"Crazy in Love";"Beyoncé"
"Convivendo";"Biagio Antonacci"
"Shut Up";"Black Eyed Peas"
"What's My Age Again?";"Blink-182"
"Bohemian Like You";"The Dandy Warhols"
"Che Farò";"La Differenza"
"Luce";"ELISA"
"Meravigliosa";"Francesco Renga"
"I Just Wanna Live";"Good Charlotte"
"The Reason";"Hoobastank"
"Super Duper Love (Are You Diggin' on Me)";"Joss Stone"
"Somewhere Only We Know";"Keane"
"In Your Eyes";"Kylie Minogue"
"Le Ore Piccole";"Neffa"
"Magnolia";"Negrita"
"Roses";"OutKast"
"A Modo Mio";"Paola & Chiara"
"Let Me Entertain You";"Robbie Williams"
"Kids";"Robbie Williams and Kylie Minogue"
"Father and Son";"Ronan Keating";"Yusuf Islam"
"Tutti I Miei Sbagli";"Subsonica"
"Sere Nere";"Tiziano Ferro"
"Funzioni Primarie";"Velvet"
"Baila";"Zucchero"
"Il Grande Baboomba";"Zucchero"
