"Kryptonite";"3 Doors Down"
"Take On Me";"A-ha"
"Fallin'";"Alicia Keys"
"Move Along";"The All-American Rejects"
"Invisible";"Ashlee Simpson"
"Sk8er Boi";"Avril Lavigne"
"Hate Me";"Blue October"
"...Baby One More Time";"Britney Spears"
"Honestly";"Cartel"
"Should I Stay or Should I Go";"The Clash"
"Girls Just Wanna Have Fun";"Cyndi Lauper"
"Bad Day";"Daniel Powter"
"Survivor";"Destiny's Child"
"Take Me Out";"Franz Ferdinand"
"Over My Head (Cable Car)";"The Fray"
"Feel Good Inc.";"Gorillaz"
"Lips Of An Angel";"Hinder"
"The Reason";"Hoobastank"
"You're Beautiful";"James Blunt"
"Beautiful Soul";"Jesse McCartney"
"Hanging by a Moment";"Lifehouse"
"Helena";"My Chemical Romance"
"These Words";"Natasha Bedingfield"
"I Write Sins Not Tragedies";"Panic! at the Disco"
"Steady, As She Goes";"The Raconteurs"
"SOS";"Rihanna"
"On The Way Down";"Ryan Cabrera"
"Chasing Cars";"Snow Patrol"
"Vertigo";"U2"
"I Wanna Dance With Somebody (Who Loves Me)";"Whitney Houston"
