"1 Thing";"Amerie"
"Back To Black";"Amy Winehouse"
"I'm Outta Love";"Anastacia"
"...I jeszcze";"Andrzej Piaseczny"
"Tego chcialam";"Ania"
"Silna";"Ania Szarmach"
"Pump It";"Black Eyed Peas"
"Miales byc";"Brodka"
"Yo (Excuse Me Miss)";"Chris Brown"
"Bootylicious";"Destiny's Child"
"Summertime";"DJ Jazzy Jeff & The Fresh Prince"
"Hollaback Girl";"Gwen Stefani"
"Alright";"Jamiroquai"
"Za kare";"Justyna Steczkowska"
"Ostatnia szansa";"Kasia Cerekwicka"
"Prowadz mnie";"Kasia Kowalska"
"Supermenka";"Kayah"
"Never Too Much";"Luther Vandross"
"Im wiecej Ciebie tym mniej";"Natalia Kukulska"
"Przez chwile";"Nowator"
"Idlewild Blue (Don'tchu Worry 'Bout Me)";"OutKast"
"Buttons";"The Pussycat Dolls"
"We Ride";"Rihanna"
"Push It";"Salt'N'Pepa"
"Skad ja Cie mam";"Sistars"
"Z kazdym twym oddechem";"Stachursky"
"You May Be In love";"Tatiana & Blue Café"
"Chodz do mnie";"Teka";"Fame District"
"Szansa";"Virgin"
"My Love Is Your Love";"Whitney Houston"
