"All Out Of Love";"Air Supply"
"Black Velvet";"Alannah Myles"
"Left Outside Alone";"Anastacia"
"I'm With You";"Avril Lavigne"
"More Than A Feeling";"Boston"
"Waiting For A Star To Fall";"Boy Meets Girl"
"Wherever You Will Go";"The Calling"
"(I Just) Died In Your Arms";"Cutting Crew"
"Time After Time";"Cyndi Lauper"
"Ordinary World";"Duran Duran"
"Carrie";"Europe"
"Alone";"Heart"
"Just Another Day (Without You)";"Jon Secada"
"Amazed";"Lone Star"
"Walking In Memphis";"Marc Cohn"
"I'd Do Anything For Love (But I Won't Do That)";"Meat Loaf"
"To Be With You";"Mr Big"
"Broken Wings";"Mr Mister"
"Kyrie";"Mr Mister"
"How You Remind Me";"Nickelback"
"Without You";"Nilsson"
"Every Rose Has Its Thorn";"Poison"
"The Show Must Go On";"Queen"
"It Must Have Been Love";"Roxette"
"Listen To Your Heart";"Roxette"
"Nothing's Gonna Stop Us Now";"Starship"
"Too Lost In You";"Sugababes"
"Chains";"Tina Arena"
"Africa";"Toto"
"China In Your Hand";"T'Pau"
