"Song 2";"Blur"
"1985";"Bowling For Soup"
"My Favourite Game";"The Cardigans"
"Unguarded Moment";"The Church"
"Speed of Sound";"Coldplay"
"Smoke On The Water";"Deep Purple"
"April Sun In Cuba";"Dragon"
"O Yeah";"End of Fashion"
"Why Does Love Do This To Me?";"The Exponents"
"Do You Want To";"Franz Ferdinand"
"Sounds Of Then (This Is Australia)";"GANGgajang"
"Hard Act To Follow";"Grinspoon"
"What You Waiting For?";"Gwen Stefani"
"Celebrity Skin";"Hole"
"Never Tear Us Apart";"INXS"
"Are You Gonna Be My Girl?";"Jet"
"Somebody Told Me";"The Killers"
"I Am";"Killing Heidi"
"Down Under";"Men at Work"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"(Baby I've Got You) On My Mind";"Powderfinger"
"These Days";"Powderfinger"
"Paint It, Black";"The Rolling Stones"
"Wind Of Change";"Scorpions"
"Better";"The Screaming Jets"
"Dakota";"Stereophonics"
"Counting The Beat";"The Swingers"
"The Boys Are Back in Town";"Thin Lizzy"
"4ever";"The Veronicas"
