"Song 2";"Blur"
"1985";"Bowling For Soup"
"Ich Lebe 2005";"Christina Stürmer"
"Speed of Sound";"Coldplay"
"Smoke On The Water";"Deep Purple"
"Du trägst keine Liebe in dir";"Echt"
"More Than Words";"Extreme"
"Do You Want To";"Franz Ferdinand"
"What You Waiting For?";"Gwen Stefani"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Perfekte Welle";"Juli"
"Club Foot";"Kasabian"
"Everybody's Changing";"Keane"
"Somebody Told Me";"The Killers"
"Black Horse And The Cherry Tree";"KT Tunstall"
"Verdammt, Ich Lieb Dich";"Matthias Reim"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"Don't Stop Me Now";"Queen"
"Somewhere Else";"Razorlight"
"Die Welt Steht Still";"Revolverheld"
"Paint It, Black";"The Rolling Stones"
"Es Könnt' Ein Anfang Sein";"Rosenstolz"
"Wind Of Change";"Scorpions"
"Ist Es Wichtig?";"Selig"
"The Boys Are Back in Town";"Thin Lizzy"
"This Boy Is Tocotronic";"Tocotronic"
"Teenage Kicks";"The Undertones"
"Denkmal";"Wir sind Helden"
