"A Šta Da Radim (live)";"Azra"
"Put Ka Sreci";"Bare i Placenici"
"Song 2";"Blur"
"An Honest Mistake";"The Bravery"
"My Favourite Game";"The Cardigans"
"Speed of Sound";"Coldplay"
"Stojim Na Kantunu";"Ðavoli"
"Smoke On The Water";"Deep Purple"
"S Dlana Boga Pala Si";"En Face"
"Do You Want To";"Franz Ferdinand"
"Nek Se Dijete Zove Kao Ja";"Gibonni"
"Sedan Dan";"Gustafi"
"What You Waiting For?";"Gwen Stefani"
"Hate to Say I Told You So";"The Hives"
"Samo Za Taj Osjecaj";"Hladno Pivo"
"Zimmer Frei";"Hladno Pivo"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Somebody Told Me";"The Killers"
"Svijet Za Nas";"Laufer"
"Kontinento";"Let 3"
"Come As You Are";"Nirvana"
"Lutka za bal (live)";"Parni Valjak"
"Heroj Ulice";"Prljavo Kazalište"
"Ja Volim Samog Sebe";"Psihomodo Pop"
"Go With The Flow";"Queens of the Stone Age"
"Paint It, Black";"The Rolling Stones"
"Wind Of Change";"Scorpions"
"Run";"Snow Patrol"
"Totalno Drukciji Od Drugih";"Vještice"
"Mala Cici";"Zadruga"
