"Girl";"Anouk"
"Nobody's Wife";"Anouk"
"Banquet";"Bloc Party"
"Song 2";"Blur"
"My Favourite Game";"The Cardigans"
"Speed of Sound";"Coldplay"
"Ik Wil Je";"De Kreuners"
"Smoke On The Water";"Deep Purple"
"Adrenaline";"Di-rect"
"Do You Want To";"Franz Ferdinand"
"Radar Love";"Golden Earring"
"Twilight Zone";"Golden Earring"
"What You Waiting For?";"Gwen Stefani"
"Iedereen Is Gek";"Heideroosjes"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Everybody's Changing";"Keane"
"Somebody Told Me";"The Killers"
"Black Horse And The Cherry Tree";"KT Tunstall"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"Kom Van Dat Dak Af";"Peter Koelewijn"
"Don't Stop Me Now";"Queen"
"Go With The Flow";"Queens of the Stone Age"
"Paint It, Black";"The Rolling Stones"
"Wind Of Change";"Scorpions"
"Venus";"Shocking Blue"
"Caramel";"Soulwax"
"Sadness";"Stash"
"The Boys Are Back in Town";"Thin Lizzy"
