"Banquet";"Bloc Party"
"Song 2";"Blur"
"1985";"Bowling For Soup"
"An Honest Mistake";"The Bravery"
"My Favourite Game";"The Cardigans"
"Speed of Sound";"Coldplay"
"Smoke On The Water";"Deep Purple"
"Do You Want To";"Franz Ferdinand"
"What You Waiting For?";"Gwen Stefani"
"Hard to Beat";"Hard-Fi"
"Hate to Say I Told You So";"The Hives"
"Celebrity Skin";"Hole"
"Are You Gonna Be My Girl?";"Jet"
"Club Foot";"Kasabian"
"Everybody's Changing";"Keane"
"Somebody Told Me";"The Killers"
"The Bucket";"Kings of Leon"
"Black Horse And The Cherry Tree";"KT Tunstall"
"Apply Some Pressure";"Maxïmo Park"
"Come As You Are";"Nirvana"
"Self Esteem";"The Offspring"
"Don't Stop Me Now";"Queen"
"Go With The Flow";"Queens of the Stone Age"
"Somewhere Else";"Razorlight"
"Paint It, Black";"The Rolling Stones"
"Wind Of Change";"Scorpions"
"Run";"Snow Patrol"
"Dakota";"Stereophonics"
"The Boys Are Back in Town";"Thin Lizzy"
"Teenage Kicks";"The Undertones"
