"Tears Dry On Their Own";"Amy Winehouse"
"The Tide Is High";"Blondie"
"Girls & Boys";"Blur"
"Szalona";"Boys"
"Czerwone korale";"Brathanki"
"Let's Dance";"David Bowie"
"I'm Coming Out";"Diana Ross"
"Jestem kobieta";"Edyta Górniak"
"I'm Still Standing";"Elton John"
"Lato";"Formacja Niezywych Schabuff"
"Kolorowe sny";"Just 5"
"Maczo";"K.A.S.A"
"To wlasnie lato";"K.A.S.A"
"S.O.S";"Kasia Cerekwicka"
"Cos optymistycznego";"Kasia Kowalska"
"Pokolenie";"Kombi"
"Sen sie spelni";"Kombi"
"Bo jestes Ty";"Krzysztof Krawczyk"
"Mambo No. 5";"Lou Bega"
"Agnieszka";"Lzy"
"Narcyz sie nazywam";"Lzy"
"Dlugosc dzwieku samotnosci";"Myslovitz"
"Kobiety sa gorace";"Norbi"
"Piekny dzien";"Norbi";"Krzysztof Krawczyk"
"Mysterious Girl";"Peter André"
"Zakrecona";"Reni Jusis"
"Umbrella";"Rihanna"
"Red Dress";"Sugababes"
"Orla Cien";"Varius Manx"
"Hook Me Up";"The Veronicas"
"Club Tropicana";"Wham!"
