"Monster";"The Automatic"
"All The Small Things";"Blink-182"
"Coffee & TV";"Blur"
"Toxic";"Britney Spears"
"Lovefool";"The Cardigans"
"Fix You";"Coldplay"
"Chelsea Dagger";"The Fratellis"
"Feel Good, Inc.";"Gorillaz"
"Cool";"Gwen Stefani"
"Move Your Feet";"Junior Senior"
"Mr. Brightside";"The Killers"
"I Try";"Macy Gray"
"Pass The Dutchie";"Musical Youth"
"So Sick";"Ne-Yo"
"No Tomorrow";"Orson"
"Hey Ya!";"OutKast"
"Movin' On Up";"Primal Scream"
"Beep";"The Pussycat Dolls"
"Losing My Religion";"R.E.M."
"No Surprises";"Radiohead"
"America";"Razorlight"
"Something Stupid";"Robbie Williams & Nicole Kidman"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"She Bangs The Drums";"The Stone Roses"
"Alright";"Supergrass"
"We're Not Gonna Take It";"Twisted Sister"
"Beautiful Day";"U2"
"Buddy Holly";"Weezer"
"Love Train";"Wolfmother"
"Valerie";"The Zutons"
