"Wir Trafen Uns In Einem Garten";"2raumwohnung"
"Das Gefühl";"Annett Louisan"
"Mein Stern";"Ayman"
"Ab In Den Süden 2004";"Buddy"
"Immer An Euch Geglaubt";"Christina Stürmer"
"Kein Bock Zu Geh'n";"Clueso"
"Weinst Du";"Echt"
"Und Tschüss";"Die Familie"
"Schau Mir Ins Gesicht";"Franziska"
"Haltet Die Welt An";"Glashaus"
"Die Ersten";"Halogenpoeten"
"Jungen Mädchen";"Hund Am Strand"
"Du Erinnerst Mich An Liebe";"Ich + Ich"
"Geile Zeit";"Juli"
"Regen Und Meer";"Juli"
"Leb Den Tag";"Laith Al-Deen"
"Zeit Für Helden";"Luka Neuser"
"Das Alles Ändert Nichts Daran";"Maya Saban + Cosmo Klein"
"An Alle Ladies";"Ohrbooten"
"Was Kostet Die Welt";"Olesoul"
"Freunde Bleiben";"Revolverheld"
"Ich Bin Ich (Wir Sind Wir)";"Rosenstolz"
"Und Wenn Ein Lied";"Söhne Mannheims"
"Durch Den Monsun";"Tokio Hotel"
"Alles Aus Liebe";"Die Toten Hosen"
"Hier Kommt Alex (Unplugged)";"Die Toten Hosen"
"Nur Ein Wort";"Wir Sind Helden"
"Von Hier An Blind";"Wir Sind Helden"
"Dieser Weg";"Xavier Naidoo"
"Sag Mir - Was Meinst Du?";"Yvonne Catterfeld"
