"Chiquitita";"ABBA"
"Dancing Queen";"ABBA"
"Does Your Mother Know";"ABBA"
"Fernando";"ABBA"
"Gimme! Gimme! Gimme! (A Man After Midnight)";"ABBA"
"Happy New Year";"ABBA"
"Head Over Heels";"ABBA"
"I Do, I Do, I Do, I Do, I Do";"ABBA"
"Knowing Me, Knowing You";"ABBA"
"Mamma Mia";"ABBA"
"Money, Money, Money";"ABBA"
"The Name Of The Game";"ABBA"
"One Of Us";"ABBA"
"Ring Ring";"ABBA"
"SOS";"ABBA"
"Summer Night City";"ABBA"
"Super Trouper";"ABBA"
"Take A Chance On Me";"ABBA"
"Thank You For The Music";"ABBA"
"The Day Before You Came";"ABBA"
"Under Attack";"ABBA"
"Voulez-Vous";"ABBA"
"Waterloo";"ABBA"
"When All Is Said And Done";"ABBA"
"The Winner Takes It All";"ABBA"
