"Don't Trust Me";"3OH!3"
"Jai Ho";"A. R. Rahman";"The Pussycat Dolls"
"Amazing";"Alex Lloyd"
"Catch My Disease";"Ben Lee"
"Fallin' for You";"Colbie Caillat"
"Walking on a Dream";"Empire of the Sun"
"Outside";"George Michael"
"Art of Love";"Guy Sebastian";"Jordin Sparks"
"The Last Day on Earth";"Kate Miller-Heidke"
"Bulletproof";"La Roux"
"Poker Face";"Lady Gaga"
"Pictures of You";"The Last Goodnight"
"White Noise";"The Living End"
"Haven't Met You Yet";"Michael Bublé"
"We Are Golden";"Mika"
"Blame It on the Rain";"Milli Vanilli"
"Alive";"Natalie Bassingthwaighte"
"Turn Off the Light";"Nelly Furtado"
"Boys and Girls";"Pixie Lott"
"This Boy's in Love";"The Presets"
"Hush Hush";" Hush Hush";"The Pussycat Dolls"
"This Is Who I Am";"Vanessa Amorosi"
"Graduation (Friends Forever)";"Vitamin C"
"Feels Like Woah";"Wes Carr"
"New Moon Rising";"Wolfmother"
