"Kryptonite";"3 Doors Down"
"Helicopter";"Bloc Party"
"Song 2";"Blur"
"Ever Fallen in Love";"Buzzcocks"
"Run to Paradise";"Choirboys"
"Bubbly";"Colbie Caillat"
"The Man Who Sold the World";"David Bowie"
"From the Sea";"Eskimo Joe"
"Kiss with a Fist";"Florence and the Machine"
"No You Girls";"Franz Ferdinand"
"I Predict a Riot";"Kaiser Chiefs"
"Fire";"Kasabian"
"Days Go By";"Keith Urban"
"My Delirium";"Ladyhawke"
"Supermassive Black Hole";"Muse"
"crushcrushcrush";"Paramore"
"Debaser";"Pixies"
"Disco 2000";"Pulp"
"Under Pressure";"Queen & David Bowie"
"Just Looking";"Stereophonics"
"Take a Long Line";"The Angels"
"Waterfall";"The Stone Roses"
"Rock the Casbah";"The Clash"
"She Sells Sanctuary";"The Cult"
"Prisoner of Society";"The Living End"
"Steady, As She Goes";"The Raconteurs"
"Untouched";"The Veronicas"
"Fell In Love With A Girl";"The White Stripes"
"Evie Part 1 (Let Your Hair Hang Down)";"The Wrights"
"Beautiful Day";"U2"
