"Kryptonite";"3 Doors Down"
"Helicopter";"Bloc Party"
"Song 2";"Blur"
"Ever Fallen in Love";"Buzzcocks"
"Bubbly";"Colbie Caillat"
"The Man Who Sold the World";"David Bowie"
"Grounds for Divorce";"Elbow"
"Kiss with a Fist";"Florence and the Machine"
"No You Girls";"Franz Ferdinand"
"Too Young to Die";"Jamiroquai"
"I Predict a Riot";"Kaiser Chiefs"
"Fire";"Kasabian"
"Suddenly I See";"KT Tunstall"
"My Delirium";"Ladyhawke"
"Supermassive Black Hole";"Muse"
"crushcrushcrush";"Paramore"
"Debaser";"Pixies"
"Disco 2000";"Pulp"
"Under Pressure";"Queen & David Bowie"
"Just Looking";"Stereophonics"
"Waterfall";"The Stone Roses"
"Rock the Casbah";"The Clash"
"She Sells Sanctuary";"The Cult"
"The Lovecats";"The Cure"
"Steady, As She Goes";"The Raconteurs"
"Untouched";"The Veronicas"
"Fell In Love With A Girl";"The White Stripes"
"Steamy Windows";"Tina Turner"
"Beautiful Day";"U2"
"A-Punk";"Vampire Weekend"
