"Wir Werden Sehen";"2raumwohnung"
"Easy Day";"Bananafishbones & Franka Potente"
"Spring";"BEN*JAMMIN
"Ma Baker";"Boney M."
"Darum Leben Wir";"Cassandra Steen"
"Ey DJ";"Culcha Candela"
"Mief! (Nimm Mich Jetzt, Auch Wenn Ich Stinke)";"Die Doofen"
"Eisblumen";"Eisblume"
"Flieger, Grüß Mir Die Sonne";"Extrabreit"
"Die Da!?!";"Die Fantastischen Vier"
"When I'm Dead And Gone";"Fury In The Slaughter House"
"You Can't Stop Me";"Guano Apes"
"Countdown To Insanity";"H-Blockx"
"Über Sieben Brücken Musst Du Gehn";"Karat
"Liebmichhassmich";"Killerpilze"
"Mädchen";"Lucilectric"
"1ste Liebe";"Max Herre mit Joy Denalane"
"Love How You Love Me";"Melanie Thornton"
"Girl You Know It's True";"Milli Vanilli"
"Ich Kann Nix Dafür";"Nena, Olli & Remmler"
"Millionär";"Die Prinzen"
"Lena";"PUR"
"Wie Weit Ist Vorbei";"Rosenstolz"
"Maria Magdalena";"Sandra"
"From Sarah With Love";"Sarah Connor"
"Send Me An Angel";"Scorpions"
"Schau Schau";"Selig"
"Ich Sang Die Ganze Zeit Von Dir";"Tomte"
"Alles Was War";"Die Toten Hosen"
"Bronze, Silber Und Gold (Live)";"Wolfgang Petry"
