"Nigdy Więcej Nie Tańcz Ze Mną";"Ania Dąbrowska"
"W Spodniach Czy W Sukience";"Ania Dąbrowska"
"Soft";"Anna Wyszkoni i Video"
"Wid Out Ya";"Blog 27"
"Kamień i Aksamit";"De Mono"
"Żałuję";"Ewelina Flinta"
"A Gdy Jest Już Ciemno";"Feel"
"No Pokaż Na Co Cię Stać";"Feel"
"Ławka";"Formacja Nieżywych Schabuff"
"Szczęśliwego Nowego Jorku";"Gadowski & Kościkiewicz"
"Ślad";"Kombii"
"Stacja Warszawa";"Lady Pank"
"Nieprawda";"Łukasz Zagrobelny"
"Nie Kłam, Że Kochasz Mnie";"Łukasz Zagrobelny & Ewelina Flinta"
"Ev'ry Night";"Mandaryna"
"Siłacz";"Marcin Rozynek"
"Ważne";"Mezo & Kasia Wilk"
"Bezimienni";"Papa D"
"Jeszcze Raz";"Patrycja Markowska"
"Świat Się Pomylił";"Patrycja Markowska"
"Jedwab";"Stachursky"
"Za Każdy Dzień, Za Każdy Szept";"Stachursky"
"Dzień Dobry, Kocham Cię";"Strachy na Lachy"
"Co Z Nami Będzie";"Sylwia Grzeszczak & Liber"
"Nowe Szanse";"Sylwia Grzeszczak & Liber"
"Całe Życie Grasz";"Szymon Wydra & Carpe Diem"
"Życie Jak Poemat";"Szymon Wydra & Carpe Diem"
"Pokaż Mi";"Verba"
"Widziałem Twoje Oczy";"Verba"
"Bella";"Video"
