"Rehab";"Amy Winehouse"
"Drück Die 1";"Annett Louisan"
"Verdamp Lang Her";"BAP"
"Livin' On A Prayer";"Bon Jovi"
"With You";"Chris Brown"
"Lady In Red";"Chris De Burgh"
"True Colors";"Cyndi Lauper"
"Strom";"Die Toten Hosen"
"No Air";"Jordin Sparks";"Chris Brown"
"Dieses Leben";"Juli"
"Human";"The Killers"
"Ring Frei";"LaFee"
"The World Should Revolve Around Me";"Little Jackie"
"Mein Freund";"MIA."
"Party People";"Nelly";"Fergie"
"So What";"P!nk"
"Every Little Thing She Does Is Magic";"The Police"
"Bohemian Rhapsody";"Queen"
"Blueprint";"Rainbirds"
"König Der Welt";"Rapsoul"
"Angels";"Robbie Williams"
"Somebody's Watching Me";"Rockwell"
"Under my Skin";"Sarah Connor"
"The Man Who Can't Be Moved";"The Script"
"I Decided";"Solange"
"Girls";"Sugababes"
"Helden Gesucht";"Thomas Godoj"
"Übers Ende Der Welt";"Tokio Hotel"
"Horizont";"Udo Lindenberg"
"Don't Go";"Yazoo"
