"Another One Bites The Dust";"Queen"
"Bohemian Rhapsody";"Queen"
"Breakthru";"Queen"
"Crazy Little Thing Called Love";"Queen"
"Don't Stop Me Now";"Queen"
"Fat Bottomed Girls";"Queen"
"Hammer To Fall";"Queen"
"I Want It All";"Queen"
"I Want To Break Free";"Queen"
"Innuendo";"Queen"
"Killer Queen";"Queen"
"A Kind Of Magic";"Queen"
"One Vision";"Queen"
"Play The Game";"Queen"
"Radio Ga Ga";"Queen"
"Save Me";"Queen"
"The Show Must Go On";"Queen"
"Somebody To Love";"Queen"
"These Are The Days Of Our Lives";"Queen"
"Tie Your Mother Down";"Queen"
"Under Pressure";"Queen";"David Bowie"
"We Are The Champions";"Queen"
"We Will Rock You";"Queen"
"Who Wants To Live Forever";"Queen"
"You're My Best Friend";"Queen"
